probability, central cube size, simulation size, number of simulations
0.2510000000, 64, 256, 30

start size,number terminated,number still growing
25, 15365, 0
26, 12029, 0
27, 9620, 0
28, 7716, 0
29, 6431, 0
30, 5238, 0
31, 4581, 0
32, 3999, 0
33, 6470, 0
34, 4972, 0
35, 2159, 0
36, 3542, 0
37, 2911, 0
38, 2492, 0
39, 3053, 0
40, 1726, 0
41, 2155, 0
42, 2257, 0
43, 1377, 0
44, 1603, 0
45, 1300, 0
46, 1077, 0
47, 1176, 0
48, 990, 0
49, 939, 0
50, 924, 0
51, 691, 0
52, 671, 0
53, 630, 0
54, 561, 0
55, 500, 0
56, 457, 0
57, 409, 0
58, 398, 0
59, 322, 0
60, 297, 0
61, 249, 0
62, 271, 0
63, 207, 0
64, 245, 0
65, 195, 0
66, 178, 0
67, 161, 0
68, 133, 0
69, 147, 0
70, 132, 0
71, 104, 0
72, 113, 0
73, 85, 0
74, 83, 0
75, 84, 0
76, 77, 0
77, 64, 0
78, 75, 0
79, 57, 0
80, 50, 0
81, 41, 0
82, 49, 0
83, 36, 0
84, 29, 0
85, 34, 0
86, 25, 0
87, 21, 0
88, 20, 0
89, 21, 0
90, 19, 0
91, 12, 0
92, 16, 0
93, 11, 0
94, 17, 0
95, 8, 0
96, 13, 0
97, 8, 0
98, 6, 0
99, 8, 0
100, 11, 0
101, 6, 0
102, 3, 0
103, 6, 0
104, 3, 0
105, 0, 0
106, 5, 0
107, 3, 0
108, 2, 0
109, 3, 0
110, 4, 0
111, 0, 0
112, 4, 0
113, 1, 0
114, 2, 0
115, 0, 0
116, 1, 0
117, 1, 0
118, 2, 0
119, 0, 0
120, 0, 0
121, 0, 0
122, 0, 0
123, 1, 0
124, 0, 2
125, 0, 0
126, 0, 0
127, 0, 0
128, 0, 0
129, 0, 0
130, 0, 0
131, 0, 1
132, 0, 0
133, 0, 0
134, 0, 0
135, 0, 0
136, 0, 0
137, 0, 0
138, 0, 0
139, 0, 0
140, 0, 0
141, 0, 0
142, 0, 0
143, 0, 0
144, 0, 1
145, 0, 0
146, 0, 0
147, 0, 0
148, 0, 0
149, 0, 0
150, 0, 0
151, 0, 0
152, 0, 0
153, 0, 0
154, 0, 0
155, 0, 0
156, 0, 0
157, 0, 0
158, 0, 0
159, 0, 0
160, 0, 0
161, 0, 0
162, 0, 0
163, 0, 0
164, 0, 0
165, 0, 0
166, 0, 0
167, 0, 0
168, 0, 0
169, 0, 1
170, 0, 4
171, 0, 17
172, 0, 7
173, 0, 1
