probability, central cube size, simulation size
0.2482000000, 64, 512

size,number terminated,number still growing
458937,0,1
344001,1,0
279979,1,0
115683,1,0
95580,1,0
39934,1,0
38480,1,0
37599,1,0
25387,1,0
20741,1,0
9593,1,0
7524,1,0
5995,1,0
5282,1,0
4491,1,0
3532,1,0
3487,1,0
3149,1,0
3128,1,0
2544,1,0
1845,1,0
1719,1,0
1505,1,0
1378,1,0
1333,1,0
1226,1,0
1222,1,0
1199,1,0
1161,1,0
1132,1,0
1084,1,0
1054,1,0
1007,1,0
988,1,0
938,1,0
882,1,0
873,1,0
789,1,0
768,1,0
754,1,0
742,1,0
709,1,0
689,2,0
675,1,0
655,1,0
642,1,0
631,2,0
623,1,0
621,1,0
616,1,0
615,1,0
602,1,0
581,1,0
562,1,0
524,1,0
514,1,0
513,1,0
511,1,0
501,1,0
500,1,0
493,1,0
480,1,0
478,1,0
461,1,0
456,1,0
451,1,0
450,1,0
439,1,0
437,1,0
422,2,0
419,1,0
410,2,0
408,1,0
405,1,0
402,1,0
393,1,0
382,1,0
381,1,0
373,1,0
371,1,0
370,1,0
357,1,0
354,1,0
353,1,0
342,1,0
330,1,0
327,1,0
321,1,0
304,1,0
300,1,0
289,1,0
282,1,0
280,1,0
276,1,0
275,1,0
267,1,0
263,1,0
257,1,0
253,1,0
245,1,0
241,2,0
237,1,0
236,1,0
233,1,0
229,1,0
227,2,0
224,1,0
216,2,0
215,3,0
212,3,0
208,1,0
205,1,0
203,1,0
201,1,0
200,1,0
199,1,0
197,1,0
194,1,0
193,1,0
191,1,0
188,1,0
187,1,0
186,1,0
185,1,0
184,1,0
183,1,0
182,1,0
181,1,0
178,1,0
177,2,0
175,1,0
174,1,0
170,1,0
166,2,0
165,1,0
164,2,0
163,1,0
162,2,0
161,2,0
158,1,0
156,1,0
155,1,0
153,3,0
152,2,0
150,2,0
148,1,0
147,1,0
143,4,0
142,4,0
140,3,0
139,1,0
138,3,0
136,2,0
135,2,0
134,4,0
133,1,0
132,1,0
131,1,0
129,2,0
128,1,0
127,4,0
126,1,0
125,2,0
124,1,0
123,3,0
121,3,0
120,2,0
119,3,0
118,5,0
117,1,0
116,2,0
115,3,0
114,1,0
113,1,0
112,4,0
110,2,0
109,1,0
108,5,0
107,1,0
106,2,0
105,1,0
104,4,0
103,2,0
102,1,0
101,4,0
100,1,0
99,2,0
98,2,0
97,3,0
96,3,0
95,2,0
94,5,0
93,3,0
92,6,0
91,2,0
90,5,0
89,5,0
88,7,0
87,6,0
86,2,0
85,1,0
84,4,0
83,8,0
82,8,0
81,1,0
80,5,0
79,4,0
78,6,0
77,3,0
76,6,0
75,2,0
74,4,0
73,3,0
72,5,0
71,8,0
70,2,0
69,8,0
68,9,0
67,7,0
66,8,0
65,4,0
64,4,0
63,6,0
62,5,0
61,10,0
60,5,0
59,16,0
58,7,0
57,6,0
56,3,0
55,12,0
54,6,0
53,8,0
52,11,0
51,12,0
50,8,0
49,13,0
48,9,0
47,6,0
46,25,0
45,15,0
44,22,0
43,5,0
42,18,0
41,19,0
40,5,0
39,17,0
38,16,0
37,25,0
36,21,0
35,22,0
34,24,0
33,30,0
32,16,0
31,27,0
30,45,0
29,40,0
28,43,0
27,25,0
26,50,0
25,55,0
24,37,0
23,62,0
22,57,0
21,66,0
20,49,0
19,96,0
18,91,0
17,89,0
16,111,0
15,151,0
14,169,0
13,211,0
12,226,0
11,275,0
10,347,0
9,403,0
8,521,0
7,672,0
6,1020,0
5,1531,0
4,2448,0
3,4614,0
2,11271,0
1,47454,0
