probability, central cube size, simulation size, number of simulations
0.2510000000, 64, 512, 1

size,number terminated,number still growing
24991376,0,1
2924,1,0
2778,1,0
2496,1,0
2201,1,0
1891,1,0
1740,1,0
1653,1,0
1587,1,0
1527,1,0
1517,1,0
1432,1,0
1346,1,0
1288,1,0
1134,1,0
1127,1,0
1094,1,0
1056,1,0
993,1,0
992,1,0
929,1,0
894,1,0
802,1,0
780,1,0
767,1,0
710,1,0
690,1,0
666,1,0
651,1,0
627,1,0
590,1,0
573,1,0
571,1,0
551,1,0
512,1,0
509,1,0
443,1,0
426,3,0
423,1,0
420,1,0
405,1,0
400,1,0
390,1,0
388,1,0
385,1,0
381,1,0
380,1,0
377,1,0
371,1,0
351,1,0
346,1,0
335,1,0
332,2,0
331,1,0
329,2,0
326,2,0
322,1,0
319,1,0
317,1,0
316,1,0
306,1,0
304,1,0
300,1,0
290,1,0
287,1,0
282,1,0
276,1,0
274,2,0
271,1,0
270,1,0
261,1,0
237,1,0
233,1,0
229,1,0
227,1,0
226,1,0
224,1,0
222,1,0
220,1,0
216,1,0
213,2,0
212,2,0
205,1,0
204,1,0
203,2,0
202,1,0
201,2,0
199,1,0
192,1,0
188,1,0
187,1,0
185,2,0
184,1,0
183,1,0
177,3,0
175,3,0
174,1,0
172,1,0
171,1,0
169,1,0
167,1,0
165,2,0
164,1,0
163,1,0
161,1,0
160,1,0
159,1,0
158,1,0
157,1,0
155,1,0
154,1,0
153,2,0
146,1,0
145,1,0
144,1,0
138,1,0
136,1,0
135,1,0
134,1,0
133,2,0
132,2,0
129,3,0
128,1,0
127,3,0
126,1,0
125,3,0
124,4,0
122,2,0
121,1,0
119,1,0
118,3,0
117,4,0
115,4,0
114,2,0
112,2,0
111,2,0
110,3,0
109,1,0
108,2,0
107,4,0
106,2,0
105,1,0
104,2,0
103,4,0
102,4,0
101,3,0
100,1,0
99,4,0
98,2,0
97,2,0
96,1,0
95,3,0
93,1,0
92,2,0
91,2,0
90,2,0
89,2,0
88,4,0
87,3,0
86,6,0
85,1,0
84,1,0
83,3,0
82,2,0
81,3,0
80,8,0
79,5,0
78,4,0
77,4,0
76,5,0
75,3,0
74,10,0
73,5,0
72,2,0
71,11,0
70,4,0
69,8,0
68,11,0
67,5,0
66,3,0
65,5,0
64,6,0
63,8,0
62,4,0
61,12,0
60,6,0
59,7,0
58,7,0
57,8,0
56,6,0
55,8,0
54,10,0
53,14,0
52,10,0
51,11,0
50,7,0
49,14,0
48,14,0
47,9,0
46,10,0
45,12,0
44,12,0
43,17,0
42,17,0
41,9,0
40,10,0
39,22,0
38,23,0
37,13,0
36,27,0
35,26,0
34,31,0
33,25,0
32,18,0
31,36,0
30,27,0
29,35,0
28,36,0
27,34,0
26,49,0
25,47,0
24,59,0
23,57,0
22,68,0
21,67,0
20,73,0
19,77,0
18,79,0
17,109,0
16,86,0
15,151,0
14,163,0
13,187,0
12,229,0
11,269,0
10,286,0
9,437,0
8,517,0
7,730,0
6,1025,0
5,1545,0
4,2444,0
3,4437,0
2,11291,0
1,46211,0
